$MOCA Stakers Top List
Generated on: 2025-07-14 23:29:52
Contract Address: 0x9a98E6B60784634AE273F2FB84519C7F1885AeD2
Token Name: $MOCA
Total Staked: 295,922,713.01 $MOCA
Contract Paused: False
Total Stakers: 2616

Rank | Wallet Address | Staked Balance ($MOCA)
277 | 0x10C8F319A8Cb68603E3F6b9E94B4e809Fc95eae0 | 131,475.48 $MOCA
278 | 0xe10AA20074c4986FF73D317dC426cA6854C7B057 | 131,211.75 $MOCA
279 | 0x9b43e5c360C4019234C5eF7Ff885aF33DD35bee4 | 130,441.71 $MOCA
280 | 0x3d4e27B8391809D572D44AdeDDA01B4F4804361d | 130,435.55 $MOCA
281 | 0xAc0dF790E3b4325d0B1d304d1624F44666F758EE | 130,266.87 $MOCA
282 | 0xc0429229D88F64f86846f1c03f5c99f350898abD | 130,000.00 $MOCA
283 | 0x3DCAd2Bdb1a2c9833120CA1077317b373350a4eb | 128,566.30 $MOCA
284 | 0xa9FfD1344F7Ac2739c731e5D6B4A48998AD555FB | 128,299.08 $MOCA
285 | 0x56b3591AafD665aadC8f956C5964923782Ea1698 | 128,265.77 $MOCA
286 | 0x1E8cBBBfB827785ecC23dd0426A8907c7CDCcA3a | 128,128.05 $MOCA
287 | 0x2219d6B2c35A7F8F34D2b77eD7791c46EB852963 | 127,108.44 $MOCA
288 | 0x8B90283b23BdcE914CCd3f202Dcd580DcDcaE6c8 | 127,028.79 $MOCA
289 | 0x939141b79357deE78C8F3189ca2f46A48192aaa4 | 126,677.14 $MOCA
290 | 0xF88ba9b0Cd20679249da5a5D65a4b8a6014BbE45 | 126,485.27 $MOCA
291 | 0xfD3B58859913F9EAEf72676b58D9F21EA99c8195 | 124,705.93 $MOCA
292 | 0xAD990b2D8f63Cef4De48D9B685c3A712b621BE3e | 124,438.68 $MOCA
293 | 0x06805042B70188315797cA139A8dAf209EB6bE34 | 124,085.57 $MOCA
294 | 0x58E02a7AA5FCf710358Bcf26D93D80Dae782c6FA | 123,957.76 $MOCA
295 | 0x6f9ebABfc01cF6708773243A5015C8466B8CEFB0 | 123,288.23 $MOCA
296 | 0x3F64d483bEb3b6A87706df6843A9946b51B1C47a | 122,966.06 $MOCA
297 | 0x45d0F9EC08b4a841B996Cdd11117A260cB0cf458 | 122,739.37 $MOCA
298 | 0x4533d1F65906368ebfd61259dAee561DF3f3559D | 120,982.78 $MOCA
299 | 0xed3c423D2c2Ba4Ff4D15aABA4503e604c4d7135e | 120,429.81 $MOCA
300 | 0x7B6Fa77213265D873Ba102E6FC0775864BCD1C60 | 119,981.89 $MOCA
301 | 0xb0030F96a205E89817e68520838fD2b8401CfC1c | 119,957.40 $MOCA
302 | 0x0A9C7bE0EB06945f3a0fb9EED530E47cA6BA6851 | 119,907.76 $MOCA
303 | 0x6C741F10e367c57250472E0521653140138D4989 | 119,767.31 $MOCA
304 | 0xeBB7089578e24aB4123f8eD81FF4B56191000562 | 119,509.94 $MOCA
305 | 0x5965bf8f3b514E63123Ea022CdC0FD5e921aCa80 | 119,161.29 $MOCA
306 | 0xA7F1a4613D2af16f9C4a018754f887a1c800cB6E | 118,612.06 $MOCA
307 | 0xD62F374f877Fa5D178909DA3671f7C88F6BcE9Ff | 118,048.51 $MOCA
308 | 0x88961F034bbdc961c18114430FA6D8CED9C93C5f | 117,643.33 $MOCA
309 | 0x2860b9783f55cF729760a72846363606740D97eb | 117,288.25 $MOCA
310 | 0xe4d19680DFf89fb45EDDadd538772556f9c26548 | 116,764.68 $MOCA
311 | 0xD0F4691A3d76B332C8fBD29b64Ce1f790A9e3c25 | 116,469.68 $MOCA
312 | 0xf9ba07A909edc35865C40937fa107e75C50595ba | 116,460.85 $MOCA
313 | 0xda4c1C29A8e6860a8198c2Ca9fa21D9c6DC3ecAc | 116,068.05 $MOCA
314 | 0xF77C299bae21efA911e30c2E0078AC6881e683d5 | 115,591.03 $MOCA
315 | 0x08F68EeA5D0c4561683f3533c805e1C38b57896e | 115,585.38 $MOCA
316 | 0x117f7218C68F990D71277bCbaCeEBeC2fEfB81ef | 114,991.06 $MOCA
317 | 0x7Ad5054D45f4f5E336DA59f22A9e9f4f2E64cF76 | 114,613.45 $MOCA
318 | 0xd04bC1bc3de12573F6f2F4CB746c66c4b272B27f | 114,028.61 $MOCA
319 | 0xFFA9A7b5854dA1cfd053EDd0a7DC55C184A6F563 | 113,328.48 $MOCA
320 | 0xaC317f0F47303f961D55A2d2F99f454DA2ae9012 | 112,918.85 $MOCA
321 | 0x8c0Ed0e12819f906B2f63fc28D865C695d1E6A1D | 112,822.11 $MOCA
322 | 0xd425BF33bC9C9001C889218eBd5194086cA52B44 | 112,417.07 $MOCA
323 | 0xF705D61D3701a393a0c51BD9D5D6Ad1cbB5ec201 | 112,017.68 $MOCA
324 | 0x7A9fe22691c811ea339D9B73150e6911a5343DcA | 111,779.24 $MOCA
325 | 0x4604a0FD65843F8b6E7cD8E67C5E3dFf7B0c9c12 | 111,393.34 $MOCA
326 | 0xCD980B28732be9DdfaAF2b12b292Bb07ebc86889 | 111,027.59 $MOCA
327 | 0xA6B133935e4D9dE6A8C7a29F93D6dA400a365585 | 109,787.12 $MOCA
328 | 0x9c421d817d620c80Cdbe65919d2441Ff3560A640 | 109,543.68 $MOCA
329 | 0x69ce3D10D757c3308D2ae1421732405709006da8 | 109,200.72 $MOCA
330 | 0x7e86cE853970Ea45Fb43B11fA3aEF4E0C19b17a4 | 107,751.86 $MOCA
331 | 0x8F38f98E14b0cA08bF91AcdC0A9cd18404c28070 | 107,263.45 $MOCA
332 | 0x0f80Afc7D2590F874c45b5142ec4463F5c413469 | 107,188.19 $MOCA
333 | 0x2DcC8aC3ca3A8771EE9F8F3d2ee2A1B485A737DA | 106,878.53 $MOCA
334 | 0xE0d97D87cE600CF9C2AE0962c268f91F27c7f4FD | 106,670.23 $MOCA
335 | 0xB5617faeeCdde6041740D9618E3e7d184AB8B8A0 | 106,601.57 $MOCA
336 | 0x9044DF010ba442a6C39BaFC4E475b67F3F52F5F3 | 106,542.94 $MOCA
337 | 0xD7f3532977622bCa7Fb52c93F833FB11c0fC15b7 | 106,316.18 $MOCA
338 | 0x1F9658A434460851460B768e4424890E42D8AB26 | 105,718.49 $MOCA
339 | 0x1593c9aB842c36a926aE39CB2173731f9362E8Fd | 105,542.07 $MOCA
340 | 0xd1a0931de7a002D0D47117404BcBB3443faFb618 | 105,483.61 $MOCA
341 | 0xE10E64a598649C5951dA14d1b7DEc1fcE5ac0DdF | 105,422.23 $MOCA
342 | 0x9a1FC00A6c73FFf531C62061FbEA47f2327D29a0 | 105,191.56 $MOCA
343 | 0xD81EEb2CE87daa77180dD722e1583C6795eE098C | 104,633.13 $MOCA
344 | 0x84a0E3f4856738fE479aA4e44a81c1fb2367E2f2 | 104,452.00 $MOCA
345 | 0x4aB8f81E4077855e67D34cfDF6670BDF6e324580 | 104,277.34 $MOCA
346 | 0x33DbFb764377593b93bdD860Dbc72f7c01F50331 | 104,114.86 $MOCA
347 | 0x2aE76a64472e6289Ad8D7bdB1682F2F112f6Db79 | 104,085.84 $MOCA
348 | 0x081561Be8Ec2Bb5117d9aeD5c408eE9f20754F86 | 104,058.80 $MOCA
349 | 0x59E058C311e20B4CB92adcE9A6DAb87C7678A588 | 104,043.05 $MOCA
350 | 0xdba6550fAd8b525C27220c945c5F0B32813E2663 | 103,519.07 $MOCA
351 | 0xF42C4D6834865a4f33F2C3872C23cb77f25754e5 | 103,377.68 $MOCA
352 | 0x51E1857025D9f3995C0DB7c0cCAd457D18F3cE83 | 102,914.56 $MOCA
353 | 0x7138A36c5D119952A93b1e008426F876872006Fd | 102,887.21 $MOCA
354 | 0xAF33C78601F0b583790f3952A99390AB9F4ed424 | 102,761.98 $MOCA
355 | 0x7a27DD538B0F03c935D42878245eb07bF98f88cd | 102,084.31 $MOCA
356 | 0x9D32CcB03147e88f0d84DCD846e5BCEaDFA9bDD0 | 102,000.00 $MOCA
357 | 0x9f0f21c70f2BA56213720F5739c7707534fA17D3 | 101,994.02 $MOCA
358 | 0x96348F1EB7c9a85cB0bbB9e5BfAE27493B125f2E | 101,645.06 $MOCA
359 | 0x8b2Abf9618cb3899B8459dE211eAdF53598245aD | 101,439.60 $MOCA
360 | 0xeE43EfD614aD1E87bC2Aaba48e2604DD5a46D303 | 100,932.33 $MOCA
361 | 0x2f9Cbc733a1F539259Af78b0e533dAa8238E8374 | 100,813.01 $MOCA
362 | 0x0007550d32A90c2e498b7261139E15eC873E8502 | 100,676.78 $MOCA
363 | 0x75D69Ead8Db56Df58fedF15aF981F4545724b124 | 100,621.83 $MOCA
364 | 0x17176cF59f464BD6CeE711495627bf3c82bE85eb | 100,100.59 $MOCA
365 | 0x5014FA8A46A418038bfe302791c00819Ace04Cd6 | 100,019.41 $MOCA
366 | 0x2560e18187362f970b19C5E85F71E37fCE5847F5 | 100,000.28 $MOCA
367 | 0x2220e8b24b0fb693139B5F64Ae3241BaE0C0A5B6 | 100,000.00 $MOCA
368 | 0xb1a5B42808C2140804f5cE2e2Dd2be0cee828513 | 100,000.00 $MOCA
369 | 0xEa5F4f4440ff3cC417d09B43D6F8Da1F14175846 | 100,000.00 $MOCA
370 | 0xB2465E200ae85fa3651B2496180C6782B3dF817E | 100,000.00 $MOCA
371 | 0x1a7C730c4671387ad02441097023f07FF4B83dD1 | 100,000.00 $MOCA
372 | 0xB88C8ee3bd560bBD68Ad80E0cDb9dB8c10679889 | 100,000.00 $MOCA
373 | 0xDb56979106450cbbB6427B3b90b96aF18a1f4546 | 99,190.20 $MOCA
374 | 0x268E94649f4f2b7609D012494783D908F051fe74 | 99,070.96 $MOCA
375 | 0xa1975c9Ee79A56c2b436Ec2ce72B810CC1f4B62e | 98,800.56 $MOCA
376 | 0x26327aD83D55b5a7D55abc505074aa6218ef5aA4 | 98,614.59 $MOCA
377 | 0x5E371bAa3cE5474B38AD48EC9b6A8E6E9073C7E4 | 98,587.71 $MOCA
378 | 0xa942055e163200FFBACaFdEe4DB31fa224D65034 | 98,322.97 $MOCA
379 | 0x1747FF124909b288D0AcC581e478aC091d382338 | 97,959.53 $MOCA
380 | 0xFd67a41Fae9De9e2146CFd07444f1605Ef4B5248 | 97,519.26 $MOCA
381 | 0xa9259AF37E192025227154c4d50F82562E467a70 | 96,861.99 $MOCA
382 | 0x8b3C39045A3Ba8252614f2904Ca3fC6c42Fd1c22 | 96,792.51 $MOCA
383 | 0x4ef888f42A9621d6bB0702cd2eb188aAFEC0d6b3 | 96,254.44 $MOCA
384 | 0x14D7F234B75FBF70cd7Da4490705Bbd98Ca24705 | 95,330.48 $MOCA
385 | 0xb150B53A0a444eB153d1823C67d22795A3735DDa | 95,000.80 $MOCA
386 | 0xfA6B8b4fec4D3aC6C47a981eD7d619b3D2F185A5 | 94,534.25 $MOCA
387 | 0xC8c4Ab6E1e7dcC4e2957244baBa86ED937dc0eE8 | 94,244.70 $MOCA
388 | 0x5F447199987971EDB01e358CF67F390Df9e75237 | 94,137.75 $MOCA
389 | 0x01D6481a0683e458BA8A764CB97cF1A1819908b1 | 94,036.05 $MOCA
390 | 0x1bf77bd942f5987027b0AcC31E1478EfA4312754 | 93,887.78 $MOCA
391 | 0xcFe9A0be143690AD6F1E4381175c5d7b81bbCC4D | 93,680.22 $MOCA
392 | 0x34d14508D0a53d302153D6c5EE6B39eDCe6c8a38 | 93,557.41 $MOCA
393 | 0xe2B0EBE3c9160636bBad93aEF1a8161fb31d8dad | 93,279.59 $MOCA
394 | 0xeE866452Dc262634A070Ca3c2Fb542DBa35e9fe2 | 92,830.76 $MOCA
395 | 0x6d83518273c41762f41CD9408c145C0B87190067 | 92,816.38 $MOCA
396 | 0xDe345F780d475Cdf2b2abe15271a3d9c25b6e32C | 92,563.69 $MOCA
397 | 0x96ce0AECdD145136Bc94b3484c57ee4572064A4f | 92,553.48 $MOCA
398 | 0x4558465EF552FF5A148881472D0712a7351DFCee | 92,517.00 $MOCA
399 | 0xD8703fc6046d63CB2293384eF91ff493803c6Aa6 | 92,496.58 $MOCA
400 | 0xBC689337EDA51cE12BC0c236102Ed0F1D16BB6bC | 91,933.38 $MOCA
401 | 0x11B9Bb0012a445450b7041987069d619E339732f | 91,243.15 $MOCA
402 | 0xc7D7ffB6484aC68EFDBcA7A477a63CE307E8FdCf | 90,827.86 $MOCA
403 | 0x2B954720227b25bc6Aa3a6060a810a582b51E9D0 | 89,616.09 $MOCA
404 | 0xaDB4125Aa2402f0645b392D927a38560765A64a2 | 89,583.80 $MOCA
405 | 0xc09a6b7a56609dBdE7B4CCeD1aE9621344CB7004 | 88,993.00 $MOCA
406 | 0xbA2b811585BAB0601e3E985952A289A48d1E9985 | 88,888.00 $MOCA
407 | 0x0982005eB86d0d89b4Ac0F14327591186127F448 | 87,699.85 $MOCA
408 | 0xeBCa4a15dFd8CB67DA2823a322c8CF2Ac86107a3 | 87,562.56 $MOCA
409 | 0x2106d51212C82B481fa397d4C56b2eF98082d4F6 | 87,402.63 $MOCA
410 | 0x116Fb5af123F4cdD600D108C9F8c08F45Dd12cCE | 87,335.26 $MOCA
411 | 0xc823368eFb2AEB2dD3c224905046f722C43A5022 | 87,294.28 $MOCA
412 | 0xB78362Ed7E83B79a270c5A68Ad7b91631246617e | 87,226.55 $MOCA
413 | 0x7D95D2B579B8819b2b370516A79E1939F3a6be34 | 87,216.01 $MOCA
414 | 0xA1bF75397b0BD2b2e66c36b3b7C137fa50455911 | 87,160.31 $MOCA
415 | 0x02B004114503F5E75121EF528eac3C08f0D19305 | 87,121.57 $MOCA
416 | 0x4A8F1B48e1a82A70Ef8fE0CCdDF52929f2115237 | 86,832.62 $MOCA
417 | 0xA4e023BDbEcF5709Ee97b5170B8F5459D08f452F | 86,662.10 $MOCA
418 | 0xDF364D672f3d35FdF6E25Ea3E3d50cA1726B6ce9 | 85,031.81 $MOCA
419 | 0x8a5A3c0D6f6a7746D4Dce4f6A6d50C658acF6e44 | 84,237.10 $MOCA
420 | 0xAA57d421F4f8Eb39Eb80FFc17998DAbEf322ad0d | 84,208.99 $MOCA
421 | 0x9c51A1555E491E91b6d152AB324e0023c4eFEBB7 | 84,161.57 $MOCA
422 | 0x3C711A6eb7EFb5F810680380c85AACE62aE71316 | 84,083.07 $MOCA
423 | 0x8954EaD94811C1C63b7c372d3B3D8182f9f26eC6 | 83,989.94 $MOCA
424 | 0xC6263F721E662EcdD7f8b67BB49D3d77173F5040 | 83,910.82 $MOCA
425 | 0x68A04F2f06980890626496Eb770c24d3932f0be3 | 83,910.33 $MOCA
426 | 0xD24476023E07C3271DAcec6535087da41a539b3E | 83,899.59 $MOCA
427 | 0x76A2D051eaFB8104a4Ae864168eE7D477c2EeF79 | 83,502.60 $MOCA
428 | 0x06E252CDb6BF0E724346bE59ceADF6684c79793C | 83,450.61 $MOCA
429 | 0xd5D2Bcc897508EbBF2aCa0da2EA9Bd307c659373 | 82,676.38 $MOCA
430 | 0xAdEc6fffBFFF4f682d253cCC4Eb495E11DAE9E33 | 82,451.70 $MOCA
431 | 0x4d17656a3ebd9D221C830380766D5ACc5b231260 | 82,263.29 $MOCA
432 | 0xca7f28cF274d28Cbfb9b9A5ABB4a5C107A5275A4 | 82,037.84 $MOCA
433 | 0x15c88F7371C57D4B8aC2F97d10eaC8fcEA298E56 | 81,948.36 $MOCA
434 | 0xaB81377a955fD33034DB726bEbc7b610bFBdb156 | 81,636.36 $MOCA
435 | 0x347C36426c2a73E71aB88B3826E45deE16b8438D | 81,471.78 $MOCA
436 | 0x87d885aA914e209aCD89f85Af583866E287b5904 | 80,930.41 $MOCA
437 | 0x7a7721d9f0431c5197e9A2287544536b3A0374B7 | 80,500.00 $MOCA
438 | 0xFBC06845d273F5115d904C155580D73f9A40bDb4 | 80,000.00 $MOCA
439 | 0x0F615319D7CeeD5801faF6b13C9034DE9223a3eC | 79,863.72 $MOCA
440 | 0x9d09E62588623Cf6E5535B62289E4A018d0D5E93 | 79,817.43 $MOCA
441 | 0xa25f18301c101e860E73EEc7f95E9f7eBA3cb4Dd | 79,712.00 $MOCA
442 | 0x7782C1c31f0EeD9Ebf466D78bEEC0cb0CD2b51Af | 79,562.40 $MOCA
443 | 0xF3De4637151BEF03cAAa190Fed96E290b30Bd0cc | 79,276.30 $MOCA
444 | 0xC3fA4F16ca336c8FBAA3713EBbFA137fac3A68A6 | 79,078.47 $MOCA
445 | 0x6F44232E7B5F58fAaB40050b91EA59A13eEE62dc | 78,825.91 $MOCA
446 | 0x5D30713240aCF44CC7C99E7427d233A1d4A9AF9E | 78,310.04 $MOCA
447 | 0x1B765DC31F94A48468C9678B1F07ca3eF21CB951 | 78,151.05 $MOCA
448 | 0x7bdB40C17687853a7eDabEcB7C5546fd1cA7d055 | 78,118.87 $MOCA
449 | 0x3844E9bA380E613c8f6220889d695a7ccA8c0FBA | 77,723.21 $MOCA
450 | 0xf821B10a64aB148d8173C69FA9531BaeE36Ab995 | 77,347.10 $MOCA
451 | 0x72659a061BE926061De38940D65f88660c725A00 | 76,219.26 $MOCA
452 | 0x2B1d3DC524BbB23527B85BbDcD86c3D379B6e46A | 75,987.87 $MOCA
453 | 0x3BBdED7132C61A703F9138A10Fd177f0796b6696 | 75,702.64 $MOCA
454 | 0x7Dcc952778629c6b21D0a86759AB6Fc5f3A0f345 | 75,594.58 $MOCA
455 | 0x0eEd6e4837151b6264284E43c81384101DB5D071 | 74,353.79 $MOCA
456 | 0xA9e72Fb863cab3De32e68b9f990D3F894d7Fa9E1 | 74,176.80 $MOCA
457 | 0x6e55BC85A34dE8a9f4214ec5900Aac6323299c9D | 74,147.37 $MOCA
458 | 0x498C87F5aDB060ab1AdE52bf4A807f04D122Ca1A | 74,066.00 $MOCA
459 | 0x5Dd6CD062AbEeD7094C18202bd1dAB50CcC50f14 | 73,684.65 $MOCA
460 | 0xde268c4a54fd998554F64657fd877B8e0413E42f | 73,142.87 $MOCA
461 | 0xb9841e83073c2Ed43940858aD398Be8b5bD2DF53 | 72,301.70 $MOCA
462 | 0xdeC7e62890fC1Be94c8996C67Ec742828cF7bc5d | 72,297.48 $MOCA
463 | 0x7437C58C207bE117920A2Ea57f5a4924385B5ad9 | 72,102.56 $MOCA
464 | 0xAFDb21f895F69E6dFe6E30EbB2A9cDF732FF99D8 | 72,000.05 $MOCA
465 | 0xf17b008F87893b425aEd430290BEDC7081dc9c42 | 71,951.30 $MOCA
466 | 0xCB51E06550f3a3aDF7bAca1614EEaE4A3bC6f884 | 71,845.13 $MOCA
467 | 0x8691B092ff99e4dBb54F728179ce91D8F3ad10Dc | 71,818.74 $MOCA
468 | 0xA46be6806B2437D46977B7B06BAb71182a76b834 | 71,619.14 $MOCA
469 | 0xe748dee308e3e0a88c4D0cA4082D274e84466F8a | 71,439.19 $MOCA
470 | 0xa47B6bd4Da97421BD15DdF73D35dED2F0815cEA6 | 71,322.57 $MOCA
471 | 0xce68b1394ED29ECAA6974536244d1D2Aad4a2745 | 70,571.73 $MOCA
472 | 0xABEbE5216f1EC68279B2636cdc4B4Fa24A025624 | 70,377.56 $MOCA
473 | 0x3F5867645E75c4D8c26E4FDea2C273CE6cdcfF53 | 70,302.96 $MOCA
474 | 0x9516dFea7Bcf5dc1bAd2E2E2c84f5094408a92A9 | 70,122.23 $MOCA
475 | 0x01714F037e65c63E9ab350B22E38a33FBba6cDF6 | 70,009.57 $MOCA
476 | 0x7f850d74E58edc8F33BF2152137b9E9FdDFa1785 | 69,928.35 $MOCA
477 | 0x6b852c8136F828EdBC8976c6909ADc74DA992fB2 | 68,437.16 $MOCA
478 | 0xD4060CF2a10332c70E2a98028392B448eD339DCe | 68,204.93 $MOCA
479 | 0x2911b8430aeC1dfE8659403FFd633438793F7956 | 67,884.44 $MOCA
480 | 0x23854b80FC81aA2d432De34c5213e8DD04179119 | 67,875.67 $MOCA
481 | 0x2164cA4EAa089ED5A4c598Eb4d06d03FFA3CF1c9 | 67,661.60 $MOCA
482 | 0xf84d6D2dc4a432b98A7D5B3160373D33158A4C84 | 67,510.44 $MOCA
483 | 0x0F3b3371697a63Aca06B6A6396af673a5000D3D4 | 66,496.82 $MOCA
484 | 0xEd1aF456F32A96C5eE592D5315d836441c8a2544 | 66,371.63 $MOCA
485 | 0xF4E30bcb65f56B9bbb5B7aeF70Daaf07b7B5FCD2 | 66,367.66 $MOCA
486 | 0x82b3A7eEA66D28AF0B0C1f873f1DbD08897eB66B | 66,270.08 $MOCA
487 | 0x0a8d456f7cC270a2C78d35368a863b935fB60f52 | 65,984.61 $MOCA
488 | 0x53B0A19c04dA445A742f22Cfee167D6a53572e4d | 65,790.27 $MOCA
489 | 0xB73ced88ed15617ebB9c66924Ff3Bf76C94c39e4 | 65,752.38 $MOCA
490 | 0xbC0b088ec82D384C4Fed8f2794d23482edA93202 | 65,379.68 $MOCA
491 | 0xf13eA6EC21D5E6EE9FF661F25e7758d5aEef2Fd0 | 65,315.26 $MOCA
492 | 0xfBf577ee160F1033717460546639A14F6D9bBb98 | 64,956.31 $MOCA
493 | 0xDe9F8Fd9665278490556587cDaCF33c6777623d0 | 64,523.17 $MOCA
494 | 0xa2f2DB0202CF94DE28822019598140b335B2F0D7 | 64,237.95 $MOCA
495 | 0x8dddb619181D87d95f5D9ee0599f6d74681bC503 | 64,143.48 $MOCA
496 | 0xde9e3efD4483A1cF9E5E25436fee5a4D20706DEE | 64,073.70 $MOCA
497 | 0xd0232776459fDF134AE7EA2E5AaAE58904fc3bFe | 63,794.01 $MOCA
498 | 0xD49AEEF78013240c243D61565a69581e6dDE29D4 | 63,587.74 $MOCA
499 | 0xfEF102fd684B1f3c508BE2D6d4e7376E08f8b209 | 63,369.18 $MOCA
500 | 0x0579d2b3b576424156de9008893Fc88D0d559d1d | 63,258.08 $MOCA
501 | 0xe36c3e5ADe45bb09C0FF17A23d241a956f7da962 | 63,048.38 $MOCA
502 | 0x1Cd5c81f65c568a8E73473784c34964E2412b421 | 62,974.57 $MOCA
503 | 0x7f96d2D36dCb47d3e5F47d91729380b0830fbD0b | 62,731.13 $MOCA
504 | 0x0064c1608efa188C7E51bBF1cd914E16F9807BA4 | 62,637.00 $MOCA
505 | 0x0BA0393e4Cd2cDc660D3eF3700218B0486c7D8D3 | 62,417.10 $MOCA
506 | 0x067E0d054557e1107822c0050069c9f8ac4d1986 | 62,000.59 $MOCA
507 | 0x802748FF1e99a199B64A7503Af2838e6EB8A8Ce0 | 61,840.65 $MOCA
508 | 0x35a9BFD953b4A9b7b64718c5A0988FA6a88F1ce5 | 61,748.28 $MOCA
509 | 0xb968dee079E3e56eB2198d1501Cb29183E0c141E | 61,694.35 $MOCA
510 | 0x1140727968448aB7D10E666C2C6e4e3411aede1b | 61,643.28 $MOCA
511 | 0xbA62234A712adC88Dc7AC00f0fbf869FBd5c4c4d | 61,643.28 $MOCA
512 | 0x356329B3704a8A787df9aC00F2834c362511c226 | 61,643.28 $MOCA
513 | 0xa2Ad5C3c913500f40bB2d4e7097364C3C8e0627D | 61,643.28 $MOCA
514 | 0x6B698A0Ab85b1c737Aba47395046A2062E674394 | 61,558.12 $MOCA
515 | 0x99D1A222c5539B5cE0E8D429eBa950970Bda0862 | 61,558.12 $MOCA
516 | 0x591cDFe6b2a51abf9e1d4d1D63D67aBad11C8B41 | 61,523.06 $MOCA
517 | 0xE0276B19467e8A37EACFc93CF18d614910B06f6e | 61,240.25 $MOCA
518 | 0x7285c0FD0A5bd1E599C779aa9Da60B224AE24aF3 | 61,224.68 $MOCA
519 | 0x37eEd794726107a26a221eF07dE07B46Bffc0960 | 61,222.95 $MOCA
520 | 0xf5432e28711687E570F052eB6af4aE772AFb5a9C | 61,174.73 $MOCA
521 | 0x7719f452F4E1fD124e32dE4A5f99598f0e223A54 | 60,536.23 $MOCA
522 | 0xC05e506054cde85946a8e25833d4D59D660Ab136 | 60,441.46 $MOCA
523 | 0xcABdBC92c8FEAa2d6D451695F35AcBdE6010F30e | 60,440.44 $MOCA
524 | 0xb730EeCd2adb9c31B2095B8De68090683c7D5d9F | 60,277.56 $MOCA
525 | 0xBEC8e762A60314e95Ca879c1fb1ec805caBadd53 | 60,066.71 $MOCA
526 | 0x2E66dc5C7a533C16c185204Bf64bB102DEfA4419 | 60,000.00 $MOCA
527 | 0x6d5Fa9871863c2b080889Bcc21E076862685b9a8 | 59,831.34 $MOCA
528 | 0x1b7CCd294384A5bD5873b0Db0876cc0931ED4cAa | 59,459.36 $MOCA
529 | 0xa13b9531341D52D85c2A1DC8ADC7285869D1393b | 59,228.30 $MOCA
530 | 0xD3d1d6e23EA9Ae3103de17578ED32aB54a26BDc8 | 58,995.86 $MOCA
531 | 0xCEe0c9022120a24C720516247C8118C7Be175aE8 | 58,696.31 $MOCA
532 | 0x6e847C33AD19526d49f2aD762Ea858FF24bc0115 | 58,469.30 $MOCA
533 | 0x6C426D6E564cc9f3C6Cac423c0bE8b3eB0B3Bff1 | 58,251.98 $MOCA
534 | 0x03443e172ea6Bdb4EfC27eA2b3C12d659949635B | 58,206.33 $MOCA
535 | 0x40394c0F96c3cfAAcA7235776d1b01Cc4Df5c4b9 | 58,191.06 $MOCA
536 | 0xd0ffBB10adeFa0d3AF0F5cCE5a5a5A3f0182cD68 | 57,923.13 $MOCA
537 | 0xA0C5823847C430FcA2f24Ac58759e7acAF054f68 | 57,792.66 $MOCA
538 | 0xc9e489Dc86bf2D5EEf11BcE89846E67039275Bd9 | 57,487.39 $MOCA
539 | 0xdc44F0853B571c3F88F26151096cd99B684EE5D2 | 57,377.00 $MOCA
540 | 0x7FD99bb90BbeBa9fd1f02d2fb1524CaB0179C43B | 57,161.12 $MOCA
541 | 0xc5909003af98B7B2F0002C456353E3c1Bd658FA0 | 57,091.50 $MOCA
542 | 0x713c9aa2bDc82feBc3b7F0e07F8a19A99bF6e047 | 57,054.86 $MOCA
543 | 0xf059Af41338096452D2781FB57ECD2eF809Dc035 | 56,620.31 $MOCA
544 | 0x87c3298BBF72ee60bdFf2E48dBd757199e970db8 | 56,506.73 $MOCA
545 | 0xf00088C9803a8dC59D8Bd227e84b2Edda15a6D63 | 56,411.87 $MOCA
546 | 0xD13BFB06478E0E02dB34Eb4d17bDd40A98DE3ec2 | 56,332.31 $MOCA
547 | 0x55D530e1Ebc0d15234BeA927DD25e474E8D67f25 | 56,292.69 $MOCA
548 | 0xD3E928C198F8D9d6468EDfe8fb7A6A300EA86314 | 55,853.14 $MOCA
549 | 0x77052973E8651cD62F38f9D1f7B1b3C67495e3A7 | 55,606.12 $MOCA
550 | 0xBE4d617806162726f09F8fa126Ac1B61C9Cbf215 | 55,575.67 $MOCA
551 | 0xFB1CEBE16f885142CbAB45158B3f04dF6f723A0b | 55,543.25 $MOCA
552 | 0x56a7a1514aC135a71639f6453a007Dd9C52d5B59 | 55,468.48 $MOCA
553 | 0x7A9e2EB09e2a1A3D954831619091b59C08fbCD08 | 55,282.30 $MOCA
554 | 0x94d61261AEdEdd27141C0Ce4c90164e16C5e6fC7 | 55,214.82 $MOCA
555 | 0x3018C8ad9b0b5E217E31ee70752B6C6032251CC2 | 55,086.81 $MOCA
556 | 0x8529ad090cCBd6642886BAdC53B1B15cd2b41286 | 54,779.35 $MOCA
557 | 0xeA6Cc62A80b16153B3742cECD9A9e270757F0e7e | 54,616.00 $MOCA
558 | 0xd1972B9Eb3A625F0f96d56703E1f2f547f740939 | 54,439.88 $MOCA
559 | 0x27A7De638C85FB21774FDC9d2F51E7F6Ee6A1D85 | 54,341.22 $MOCA
560 | 0x216CD831Dd293Dcd7a305c4146A164c074774902 | 54,329.56 $MOCA
561 | 0x482c8579180590ccc4807c7999897bF7773301Ec | 54,289.85 $MOCA
