$MOCA Stakers Top List
Generated on: 2025-07-14 23:29:52
Contract Address: 0x9a98E6B60784634AE273F2FB84519C7F1885AeD2
Token Name: $MOCA
Total Staked: 295,922,713.01 $MOCA
Contract Paused: False
Total Stakers: 2616

Rank | Wallet Address | Staked Balance ($MOCA)
62 | 0x0af59c696d6907C020B4115975973C0E4F011002 | 648,229.32 $MOCA
63 | 0x018CFf34840FEd037657f4683c5E50614419B6Fe | 643,481.57 $MOCA
64 | 0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4 | 609,790.41 $MOCA
65 | 0x80c40C82586954751E1675aA58f7dA346Ae283F4 | 600,000.28 $MOCA
66 | 0x5C3e41aE6d7e8DD24CdF6a5799d49e0eeAf09d4A | 571,447.48 $MOCA
67 | 0x8B7BF875E82a259B704C33fd87EceB7f4850F616 | 570,787.07 $MOCA
68 | 0xFCAf5b8babB4864a446671f9b88CB73BAB169BdA | 556,916.62 $MOCA
69 | 0xA8b6021F99D97fc552FdDD85B90695E5f249C8A4 | 551,993.07 $MOCA
70 | 0x0D593d1bFAfab55403ed93C5E60B30446ED44bEe | 550,304.58 $MOCA
71 | 0x6e61851aa4312e1bEa08E63eF6037C55758Fb34c | 539,871.94 $MOCA
72 | 0xE3fB1e5Ba5F47C293720d511EC8d43fB6De3bE7D | 533,260.23 $MOCA
73 | 0x96B0060f2A45E7b9D4a56348f1042b06B7fd87cc | 528,878.66 $MOCA
74 | 0x010DEF50B177EEceEdb9d71Bb56eda50868278aB | 524,309.16 $MOCA
75 | 0xb849F1C07E34C33F61f25Bad478b16dE97009c7B | 523,299.83 $MOCA
76 | 0x549d4dD35f93F653292463fbc80c77C5928D1706 | 522,086.01 $MOCA
77 | 0x2D825e77552f0B08e0f67b86459aC97FeF07092D | 500,000.52 $MOCA
78 | 0x5AF4a30C39f329097D4873705E9D5cecE987D03D | 484,777.03 $MOCA
79 | 0x9DAc2690458d93649e3046b6042990FF49d72B9e | 484,396.64 $MOCA
80 | 0xa248980dc8a0E33235244E92314d56d7332aE5cA | 484,337.44 $MOCA
81 | 0xE67D2a051116DD359ceb56a7aa0a6C5Bf813Ef46 | 476,116.81 $MOCA
82 | 0xCf09e173A361049511aA0A7Cb066E1edc3Ec86FE | 471,273.64 $MOCA
83 | 0xe517f5274a21c74AE230D99010AD11992D0E836b | 470,263.31 $MOCA
84 | 0x2612922EA33f94e22002FD1f51810b8e2C3626Af | 461,011.19 $MOCA
85 | 0x3082c1e9Bc764b7FaB74415e70e595FaceDDD16F | 440,384.89 $MOCA
86 | 0xd76Aa530b8C1F0039971Eca13ca1850047271aF0 | 431,018.23 $MOCA
87 | 0x754034e60E36DEa6C09FF2b955736085FA07B98d | 428,455.57 $MOCA
88 | 0xA15dbef1C56C59B96c4d585ba69A554842E8a63B | 423,117.59 $MOCA
89 | 0x3621F96aea9904da476727550EE205ca4C2F779C | 422,918.02 $MOCA
90 | 0x50e8D5C0c8869b11b45F8bcEFe862A727c7D1ec1 | 410,481.88 $MOCA
91 | 0xD20ecb03Ac9c87F496dA6846fD9d04a8865928b3 | 408,043.67 $MOCA
92 | 0xc32e33F743Cf7f95D90D1392771632fF1640DE16 | 399,790.38 $MOCA
93 | 0x030F40966BC3188A35B2ca1ADbAf0697d3AA2D3A | 398,814.76 $MOCA
94 | 0xEF969EDDB9a724514bCBcb51622CcC20a285c38f | 397,408.51 $MOCA
95 | 0xFA6e906DD9084d50be4B0e6AC13ef5B7186362E2 | 390,592.59 $MOCA
96 | 0x37c42bFD9817ECA61Db7FE46553C3cFcA8E212a2 | 384,168.76 $MOCA
97 | 0x123e0b16Ab322b9A718D654AD1e6b35f690dc77F | 383,133.73 $MOCA
98 | 0x7F0681DBC6a5A0D53102A4695f81552253286e51 | 378,599.62 $MOCA
99 | 0x66C2808FF8E1DC28d27c93098D702DA4c2F5D49b | 364,661.86 $MOCA
100 | 0xA88a7B61833087e080ceDe7D884A361e5703DCa3 | 363,622.46 $MOCA
101 | 0x71d887e4C7DA1c723a23858010d3B80DF2260A65 | 357,468.33 $MOCA
102 | 0x3F2670cB9Ad6B659054Be345c31ed4cd931d2C42 | 354,526.38 $MOCA
103 | 0x9Ad490C68ceA1573ABB4db1AF128949ed2325777 | 351,327.20 $MOCA
104 | 0x361D5362eF3E38A34E40B8e8220230C84335A5EB | 347,426.98 $MOCA
105 | 0x18Db90520e772FD851df0595ac830C48a393A23F | 345,781.04 $MOCA
106 | 0x2a74347717A1c696C8166251EA5557598eaf7487 | 345,012.54 $MOCA
107 | 0xc0948cE48e87a55704EfEf8E4b8f92CA34D2087E | 343,848.39 $MOCA
108 | 0x8aA1FE63Fa698A1443355E813f9d1E6a3d50f91b | 342,433.59 $MOCA
109 | 0xDBB9d557191501fd2CAdF5a9FD80845f162d20dd | 336,132.82 $MOCA
110 | 0x7d7655Ee7810B16bB73be34ab5331630cAc7e3b8 | 335,207.91 $MOCA
111 | 0x64DF8Fffe30c4149e347BAe8F6E37531A7063ba4 | 332,331.38 $MOCA
112 | 0x8A7c08e61E80f5b4E88e2DD2C58E9D0f919B9B79 | 330,526.57 $MOCA
113 | 0x5b34ca5088395b1Ae34fF3D20014e1d52f4eB328 | 330,452.30 $MOCA
114 | 0x8FB8E00c7f18C9825ef62497978Fe35a2748AAF3 | 328,512.90 $MOCA
115 | 0x94E8629d24fE93bD8Be6F9738B1aDA71e2dF4Be5 | 323,473.92 $MOCA
116 | 0x15D19e3F3af0D4ac2E0891065c2724C8bf98BBB6 | 321,127.76 $MOCA
117 | 0xD596E887d07831A57eEEd74208374e0aA0cafC95 | 320,956.52 $MOCA
118 | 0xF1EC8BB34a4Aa9746b009dDC22870f402F433e96 | 319,883.64 $MOCA
119 | 0x6Ec14a14e28b14F8D0536719284A03D334b10d59 | 319,434.82 $MOCA
120 | 0xDE1F20AC365fa7e562903CF6D63493bE534dAcFc | 317,289.30 $MOCA
121 | 0x2BAF1556a3924948A10Ab51F24D965480F397843 | 316,710.39 $MOCA
122 | 0xbe949ADAC94b2a046b3e86A0C14cA69591C5621a | 309,976.89 $MOCA
123 | 0xb46F78a3266dF9fd462B63405471b2DBF6AAEA1b | 308,785.50 $MOCA
124 | 0x648170077C732E74d2Cea0319B874972B1Ac216E | 308,080.53 $MOCA
125 | 0xb82eBf21085fB979c86af4e0a2ce998CFf0891E8 | 305,226.12 $MOCA
126 | 0x699fec4921001c4Aab3b6810019BDbe87C481F7d | 301,038.63 $MOCA
127 | 0x0947357a77fB64d642fEE8b6c9F0899BA112512C | 300,000.69 $MOCA
128 | 0x3c061e4f94F198c80A7a78b345C4a1D5450f9544 | 300,000.00 $MOCA
129 | 0x668E961736454a2444ADB485340cB7F0844DDd3d | 296,672.15 $MOCA
130 | 0x7A5258e40C6ee050B5caB6846310284A9727dAD1 | 294,664.78 $MOCA
131 | 0xd3Bb9f9e0F84608d75ab2bBa1637b373FBF480C1 | 293,930.13 $MOCA
132 | 0xFbD44230009e162c9B232d799a90825704824475 | 291,289.64 $MOCA
133 | 0xfD56CC4979e33C2ef97d97B63fB664250f33c946 | 290,505.00 $MOCA
134 | 0x7172B9B64EeF116A16261D61403008c1B8964153 | 281,809.91 $MOCA
135 | 0x793d7F7d64B7d307DddB287199644B9f17806E46 | 280,487.91 $MOCA
136 | 0x06aCc6DeAd0DEB7e06985BBdd7f1347346A006be | 280,215.88 $MOCA
137 | 0x9AAAF6ba66FC04aB6B805eD96F49cc08B4a5188a | 280,000.00 $MOCA
138 | 0xc28504f2FA279d34fdbE65b26EaaDa5eB6a220bc | 274,313.23 $MOCA
139 | 0x6e0147a1C2f5614201F55643Ec23f566e4D2306b | 274,047.44 $MOCA
140 | 0x6Fbb1030B44ff7e9cBd27038aBb5Ac94E21E7C07 | 271,562.32 $MOCA
141 | 0xdE9991eC0533E2c874Cc9298097e9CF5db523f76 | 271,550.50 $MOCA
142 | 0xa49f7990F784e74AB8085AE2671ECd75Aa4Aa7E9 | 270,928.32 $MOCA
143 | 0xA2E3d4DA66C646731Db0e854eE38889CBF74594f | 267,430.55 $MOCA
144 | 0xc99b9d4bBB924E3DEC23DB4A65cADD250845e8Db | 267,237.39 $MOCA
145 | 0x7CEd69Bd1fcFD725020d61Af1a0391631aD31A64 | 262,847.38 $MOCA
146 | 0xe7E79b378eD4916D62C4179471A5eCb9707a6Ed1 | 261,236.28 $MOCA
147 | 0xa3f80998b816bD2057673e83B486cc434317eEb8 | 260,529.98 $MOCA
148 | 0xaf5583Dae675cD1e50a3cdf409fFC78429937aB9 | 259,673.68 $MOCA
149 | 0x4ed5d301840C9B5d23C094BB2A928F1462d8Def5 | 256,778.38 $MOCA
150 | 0x4302644f438d78ce467deBab86280c53e9e1905E | 255,526.69 $MOCA
151 | 0x65cccF23A99B0163dfe279d35b83194b83633807 | 254,613.46 $MOCA
152 | 0x4DAAa7cb176b473Ddd910EF7B4A9c0F2cF57EBDB | 253,688.82 $MOCA
153 | 0xEc158A08303372629BbFdC2782998715368C1b8c | 250,167.43 $MOCA
154 | 0x5479e5490e505f787aB4325B22ba42274df52F2E | 250,000.00 $MOCA
155 | 0x8b9761f67B3C5d4dE2D845160C3E2Ab13E8ab720 | 248,376.98 $MOCA
156 | 0x17D2cbf1A72Ed8AEF78631B4bfAf919BD6546120 | 246,565.25 $MOCA
157 | 0x37904B97213233D2fe0D928472c4BE284a2C8077 | 246,174.06 $MOCA
158 | 0x61019d232073420f823Ee2cc62c5F944Fe787082 | 245,288.61 $MOCA
159 | 0x4d9Ba778B7f121e58E5d3BB6aef514e035A7c7F5 | 242,472.84 $MOCA
160 | 0x26b8646Bf1471eBC15C0A3Bc07C52f5AaC8A9224 | 238,690.35 $MOCA
161 | 0xB8Eccec235D8eCD21c0eCE6588f78ab3e20851B8 | 232,254.77 $MOCA
162 | 0xf53B0a6eCA0DF626DCE0f428E168C65C18317745 | 230,456.59 $MOCA
163 | 0xd25dAb2fc9EdE4D8A12FD0664F97B5E190e0d663 | 230,009.96 $MOCA
164 | 0x10ecB6312F28280CF42926e4a052fbbAE34cF37D | 229,920.53 $MOCA
165 | 0x4dc6F3fcB8ffEA27C274966AF0b8B1FD033614AD | 229,118.63 $MOCA
166 | 0x82636b0D51ED02132D445D3c32a57280A0625053 | 226,951.42 $MOCA
167 | 0x0a9d90e8CF0A398fd3CD9dddA266d861C68A1A1C | 225,392.60 $MOCA
168 | 0xeEc6D9Ce9Bb491f8843431A86CF24718B5E6B560 | 225,260.43 $MOCA
169 | 0x83F86f6646BCA97daAe8Ca257aB5a6ECa0Cf7E93 | 223,693.18 $MOCA
170 | 0x9F6CDd213bc4BCd29921264a86eDa57A339A43b3 | 223,230.78 $MOCA
171 | 0x73329C2737007a1B43bA19d501b10AfE5580f3FA | 221,047.03 $MOCA
172 | 0x25C805EAa831a0c98F45580e50676e041DCC87B8 | 219,382.85 $MOCA
173 | 0x9a6F3B30Db8A39851Fe15Ba6ABa6A5AAc24524cD | 219,357.48 $MOCA
174 | 0x5Aeb0712d8b46b9cF48aD422225E7381F2379164 | 219,247.01 $MOCA
175 | 0x63E604d8Fc4F47232B2ac9Bf160FCeBdCa3F8A89 | 217,278.52 $MOCA
176 | 0x7C3F6726981be1C95D77F9B06C9aA71df7dFc99E | 217,087.90 $MOCA
177 | 0x7b47640ed97Cc08Aa188Ae091eFAb2CF3eF48469 | 216,939.09 $MOCA
178 | 0xAbddd183743e61A04a7B31DE3Dc68171Ca3eD4Cc | 215,884.37 $MOCA
179 | 0x7ccE83c9808D76fC394A2C1682A298BD39DD8703 | 211,130.01 $MOCA
180 | 0xe13B9a137E9E1e55f91a583dD1be494fd8324d30 | 210,333.23 $MOCA
181 | 0x52dD09581b2492fcF1E12F58ed45F6b5f45Ba6b9 | 208,752.00 $MOCA
182 | 0x32D0d915ea7980EA480B1101124aE6F8C12D6D01 | 206,877.67 $MOCA
183 | 0x4883622Ba02edd8f9bbfAE56994Ae953590673e9 | 205,162.86 $MOCA
184 | 0x39f4DA389fEF57165BD470Eb422c755e271F785B | 203,807.76 $MOCA
185 | 0x020014f870548Dc7C7AE14633350EE98719A64dA | 202,912.15 $MOCA
186 | 0xF72CcFF19AD94A6eCb096ddf8c35C7fF6faB7C28 | 202,428.19 $MOCA
187 | 0xc7EEF461c06fCEb8aE1Ca151e3B2165703f81eDE | 200,752.00 $MOCA
188 | 0xf0E47dd364a899A9f02cffA2CB5E45dB092Eb002 | 200,001.00 $MOCA
189 | 0x55BE9cb776a3D4722b9da3b833c247a82CE6d151 | 200,000.92 $MOCA
190 | 0x37B5844e1AC4Cf48e8d7B4d52876A17db018f9a6 | 200,000.62 $MOCA
191 | 0x7c0464e3790DDBEb474F9b8C52f2885B62B7D03e | 200,000.20 $MOCA
192 | 0x3b6F050969b3545974D98146186eb6804C22F5Ba | 199,187.46 $MOCA
193 | 0xDF983A1266369D4437b4ECA7c7B743aE1996A526 | 198,448.07 $MOCA
194 | 0x82d7d876BAF30843255e9296c1EE38ad14aCd881 | 197,601.24 $MOCA
195 | 0x13F23865B423B806CF75f23535e6cc552Eba3351 | 197,345.76 $MOCA
196 | 0xdA7d2d75E164a193305A55eD03Add8aCA11d6440 | 192,840.09 $MOCA
197 | 0xb92800661E07B26095555bDdcb3Af56B4B6F9bf0 | 192,563.51 $MOCA
198 | 0x0B617FCab74524E3486F602BaCB57a8040168d61 | 191,765.18 $MOCA
199 | 0xAeB1446fA322a4eEA22198Bd76f943e61732e81b | 190,069.73 $MOCA
200 | 0x5dB220a6e0cfc75C9c31E91b8385A856F28C9aCE | 190,050.99 $MOCA
201 | 0x3822D41Cea1a08FE2B66607B0900a514C3D61C1b | 189,818.87 $MOCA
202 | 0x399D07303275719fb83aCB468249a9a26ae2f674 | 189,115.14 $MOCA
203 | 0xC830091e7C3A188245eB0087d52e252Ae6BFfF73 | 187,122.44 $MOCA
204 | 0xd86561b07A1098b7F7f376Fc30Ee192aaa8a5EA8 | 185,921.04 $MOCA
205 | 0xB3C7060D67f373E1878bd8daEE192ebbE7A797B5 | 185,515.14 $MOCA
206 | 0xb52327546Ce1F680e729Cd473D548846b88B3448 | 184,719.44 $MOCA
207 | 0xF30af00022A1f415F736c981903FB1A67f6a7796 | 184,691.19 $MOCA
208 | 0xf1D0E6348D64d287288B5518911A816E3361Cb1f | 184,581.16 $MOCA
209 | 0x34f3133A2207262f2a15BA6b9a0687cEd5714188 | 183,137.65 $MOCA
210 | 0xaBF26A0e9F6a32eC97715b8bb855460915858b81 | 182,669.34 $MOCA
211 | 0xC74C9d67Fa6020DeBD5963669b87327ab7f14A1E | 182,612.76 $MOCA
212 | 0x814fD1814b8b344891b5422A4B5Aef2Bed23e041 | 178,475.95 $MOCA
213 | 0xb7D6Ac1015CD97Df1F92973dc843556A6bA5b362 | 177,882.07 $MOCA
214 | 0xAf6e148B68E12e7aCbde71344e6ae1C99b12Dd32 | 177,556.00 $MOCA
215 | 0x17826edB68007747a4cB2531f874eBfb7D4E0b9F | 177,539.25 $MOCA
216 | 0x9D4AE801C7dB6C530D55808658d0F68FB2e0Fa15 | 177,020.71 $MOCA
217 | 0x009Fb719E2Cbf58a9CbD1158592D152FF372eEC6 | 177,019.72 $MOCA
218 | 0xcac8e716cA60344A88FcF42ac9352728bC8E4dA0 | 176,252.58 $MOCA
219 | 0x5D9d964349f1f3346dD1E7dB7002ea0DAaa9b4FB | 176,137.41 $MOCA
220 | 0x717D4e42F1A889bdaCdBe8F01C3A3ACE0b0FF0BD | 175,005.25 $MOCA
221 | 0x311Adf9FFCC308566B0Ee264C6C38b43a82a513d | 173,005.97 $MOCA
222 | 0xbE2fd46639EAe548552aA79b1245D65718cB89d9 | 172,104.81 $MOCA
223 | 0x16B69D5786b919Cb40E6f6Bac95362586430D862 | 171,352.60 $MOCA
224 | 0x60eB0126437FA01c7d62EB26B7D9D55fFF8c8e2E | 170,244.22 $MOCA
225 | 0x71973cfB84b8207B2E2B4A6198aD5d8E10f234F9 | 169,267.52 $MOCA
226 | 0xA0d3de0F35E0E2d5Eec57CF2712A65A4290d8fc9 | 168,537.23 $MOCA
227 | 0x991b9d51e5526D497A576DF82eaa4BEA51EAD16e | 167,539.29 $MOCA
228 | 0x811f03743616A9D0af958956357A1143676627d4 | 165,764.88 $MOCA
229 | 0xd161e9Dde275FfE3b46cCC148f6CEf941E1b9bEF | 165,590.66 $MOCA
230 | 0x54bce3a9Fab10b1e01082a1146002D581e43890F | 164,434.06 $MOCA
231 | 0x35dCdc0D15C98013284bEcC99260a0a4B7940a68 | 164,098.36 $MOCA
232 | 0x4f52bF5C3787aB911472a482c81bd2eEa7ab7738 | 164,074.94 $MOCA
233 | 0xcaDfC0B1053C287c107E1Caf40b39d37156CF31e | 164,040.52 $MOCA
234 | 0xA7Dfa29214B89715554Cf802349653fbF087f040 | 164,015.37 $MOCA
235 | 0x9BaCA594D5582F345CdA093afD12C910e26095f5 | 162,871.55 $MOCA
236 | 0xC66256027f24679065d82F4ADe1878974bd2263B | 162,829.02 $MOCA
237 | 0x975708d792E3A0AA7f3297028972e3b43700679C | 162,826.51 $MOCA
238 | 0x1eF7bcC3976056d3F0238b6f8653287D4d2Ea24E | 162,517.63 $MOCA
239 | 0x8cB1F920e437791A97443cC81b62476120D30e40 | 161,148.66 $MOCA
240 | 0xD2d0596ff8682dc67A0f03E538189dbE273dE079 | 161,104.45 $MOCA
241 | 0x630d47851A4D2c096347B1664bDE8A4B81b55ffc | 161,002.03 $MOCA
242 | 0x77c740c6D7a012c5DC0c81f74C47D5DDdCedEBCa | 160,111.70 $MOCA
243 | 0xBecF9806662aB07E7cB79FDDc4e358aC78F9455B | 160,051.89 $MOCA
244 | 0xF45cae5f8FCfAe61d11C07d93BD3FF1Ebd1DFF4f | 159,685.48 $MOCA
245 | 0x7A195e1D1d09e9A3bfB3e3bE4e2D3B1462f7c6c8 | 158,690.34 $MOCA
246 | 0x2f3CCEB1bdf9FaF0D79499a3D2C0CdFC806FfA80 | 158,064.44 $MOCA
247 | 0x57ecBAD5d08F487B0901fA238F9D4AADbe12CF50 | 156,477.57 $MOCA
248 | 0xC0385C781b2F35Ae0Ba54C2948f4C23aFa3bB954 | 156,153.01 $MOCA
249 | 0x8835A8B5b2C78bF874c069174c6468acd716b621 | 151,791.45 $MOCA
250 | 0x37fF23267DB26e232Ec9E13d874eFF9cbC07342a | 151,740.08 $MOCA
251 | 0xff80C5935fa336B421B400420733b31dfc711d66 | 150,937.44 $MOCA
252 | 0xEfbC53e0AFdc9f649Bc1Ab692461df57E70A560f | 150,098.35 $MOCA
253 | 0x200566091c1d78358574Ef18c538c9af613666b9 | 150,000.00 $MOCA
254 | 0x836e177461B28300022DFe4c91d0F8F61627b4A6 | 148,690.73 $MOCA
255 | 0x787B487f101ea34Fca502ab4163C81df3039c603 | 148,329.01 $MOCA
256 | 0x348953111C3CC5286B264f324fC38F81537EAC1b | 148,075.39 $MOCA
257 | 0xddD93dD0e47BA55292490c187b9E69C9eCd4D6b7 | 146,584.60 $MOCA
258 | 0x993104097A62f948b0B7F58FEcc36862BA001502 | 145,960.57 $MOCA
259 | 0x36EADe2216FF83Ea5035a221aF8e79B6551c626F | 144,524.71 $MOCA
260 | 0xB0481E4d9513924D3EeF075781794ea81b14e0F7 | 143,691.95 $MOCA
261 | 0x701A1570395843Eac780020176ba6f8D264E9AFF | 142,737.06 $MOCA
262 | 0x6217279e87593e464eb5e38f00a1ae3Bdd79E6d6 | 141,365.37 $MOCA
263 | 0x1361D2a1De89F83f61BCba6c6EB72aeE3433cFac | 140,141.97 $MOCA
264 | 0xC1eA534f63854bA2d3C32fDcd9CD34a9C239aAaa | 140,000.64 $MOCA
265 | 0xf57439B647B5D2bA7309b5b58eaADeFA69238926 | 139,161.19 $MOCA
266 | 0x13027F849d4BB4193B09ba380f0940F389E770B0 | 138,117.97 $MOCA
267 | 0xaa540EfeA2Dd75867D0bc815E632e7b23B6887ED | 137,551.42 $MOCA
268 | 0xCc28E5f8336Ad8291C19dD9358A64245afb7E8db | 137,349.22 $MOCA
269 | 0x79289040Ae116E0e4CdAA86C58228a5d2d4EB289 | 137,342.76 $MOCA
270 | 0x7310474Eb6957E36b0597006eA95D44e293d2c0e | 137,195.60 $MOCA
271 | 0x4494d5f606942dfC34144beda04f32d9b069b47F | 136,322.00 $MOCA
272 | 0x1E2A325F5E25A6A018f97D6eAE3805d884F4a371 | 135,820.51 $MOCA
273 | 0xd58C20397dc379f2b44Fec15FCB697480E8F39B7 | 134,649.12 $MOCA
274 | 0x42aec352BBc1CCC7F69e3ad8BEFcF90D4c910100 | 134,243.91 $MOCA
275 | 0x49a54b1030DD15fe2abF9573580FeBBc01e9Ed4E | 133,936.69 $MOCA
276 | 0xF0894A655645204db50D1D0f0B3d38011f9CFA16 | 133,434.26 $MOCA
